Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,4.836485,Build,SmallHouse,17,1,1,1,4000,2750,3,2,1,
1,8.186278,Build,Supply,5,14,1,1,2750,1950,2,1,1,
1,11.58652,Build,SmallHouse,22,1,1,1,1950,1450,1,0,1,
2,18.1855,Build,Supply,5,19,1,1,1450,1090,3,2,1,
2,20.0702,Build,Supply,11,14,1,1,1090,290,2,1,1,
3,29.66829,Build,BigHouse,17,6,1,1,290,630,3,2,1,
3,35.03501,Build,SmallHouse,27,1,1,1,630,130,2,1,1,
4,48.68469,Build,SmallHouse,32,1,1,1,130,360,3,2,1,
5,56.68751,Build,BigHouse,24,6,1,1,360,360,3,2,1,
5,59.6538,Build,Service,31,6,1,1,360,360,2,2,0,Not enough gold
6,65.88702,Build,Service,31,6,1,1,360,980,3,1,1,
6,75.33684,Build,SmallHouse,37,1,1,1,980,230,1,0,1,
7,148.8402,Build,Supply,11,19,1,1,230,937,3,2,1,
7,156.1238,Build,Supply,5,24,1,1,937,587,2,2,0,Not enough gold
7,165.8396,Build,SmallHouse,42,1,1,1,587,337,2,2,0,Not enough gold
8,170.1842,Build,SmallHouse,42,2,1,1,337,2644,3,3,0,Can't place building at specified location
8,170.7832,Build,SmallHouse,42,1,1,1,2644,2144,3,2,1,
8,175.8169,Build,Supply,5,24,1,1,2144,1344,2,1,1,
8,178.0357,Upgrade,Supply,5,19,2,2,1344,744,1,1,1,
8,195.2851,Build,SmallHouse,47,1,1,1,744,394,1,1,0,Can't place building at specified location
8,196.5197,Build,SmallHouse,52,1,1,1,394,394,1,1,0,Not enough gold
9,411.3061,Build,Supply,11,25,1,1,394,1221,3,2,1,
9,416.9791,Build,BigHouse,38,6,1,1,1221,21,2,1,1,
10,423.5624,Build,BigHouse,45,6,1,1,21,750,3,2,1,
10,425.9238,Build,SmallHouse,51,6,1,1,750,750,2,2,0,Can't place building at specified location
10,429.1646,Build,SmallHouse,52,6,1,1,750,250,2,1,1,
11,443.7807,Build,Supply,5,29,1,1,250,2519,3,2,1,
11,463.9475,Demolish,SmallHouse,52,6,1,0,2519,2769,2,1,1,
11,614.1797,Build,BigHouse,45,12,1,1,2769,969,1,0,1,
12,625.1995,Build,BigHouse,39,12,1,1,969,2688,3,3,0,Can't place building at specified location
12,625.6445,Build,BigHouse,38,12,1,1,2688,1488,3,2,1,
12,633.9929,Build,BigHouse,31,12,1,1,1488,1138,2,2,0,Not enough gold
12,635.8378,Build,BigHouse,31,12,1,1,1138,1138,2,2,0,Not enough gold
12,642.9017,Build,SmallHouse,52,1,1,1,1138,638,2,1,1,
