Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,1.415154,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,11.39847,Build,Supply,11,14,1,1,2750,1950,2,1,1,
1,14.69932,Build,SmallHouse,18,1,1,1,1950,1450,1,0,1,
2,24.74952,Build,Factory,1,15,1,1,1450,990,3,1,1,
2,36.78144,Build,SmallHouse,23,6,1,1,990,140,1,0,1,
3,49.61444,Build,SmallHouse,23,1,1,1,140,1300,4,3,1,
3,52.06494,Build,SmallHouse,28,6,1,1,1300,800,3,2,1,
3,62.13056,Build,SmallHouse,18,10,1,1,800,50,2,1,1,
4,75.83076,Build,Supply,11,19,1,1,50,428,4,3,1,
5,88.11787,Build,SmallHouse,28,1,1,1,428,948,4,3,1,
5,101.2836,Build,Service,24,11,1,1,948,648,3,3,0,Not enough gold
5,108.0498,Build,SmallHouse,23,10,1,1,648,148,3,2,1,
6,122.9416,Build,Service,28,11,1,1,148,608,4,2,1,
6,146.84,Build,SmallHouse,22,15,1,1,608,108,2,1,1,
7,156.2147,Build,SmallHouse,17,15,1,1,108,1118,4,3,1,
7,168.5818,Build,SmallHouse,33,6,1,1,1118,418,3,2,1,
7,170.6334,Build,SmallHouse,33,1,1,1,418,418,2,2,0,Not enough gold
7,172.0002,Build,SmallHouse,33,1,1,1,418,418,2,2,0,Not enough gold
7,172.634,Build,SmallHouse,33,2,1,1,418,418,2,2,0,Can't place building at specified location
8,187.2481,Build,Supply,11,25,1,1,418,1876,4,3,1,
8,194.7531,Build,Supply,5,23,1,1,1876,1076,3,2,1,
8,203.3087,Build,SmallHouse,33,2,1,1,1076,1076,2,2,0,Can't place building at specified location
8,203.9128,Build,SmallHouse,33,1,1,1,1076,576,2,1,1,
8,208.9858,Build,SmallHouse,38,1,1,1,576,326,1,1,0,Not enough gold
9,220.59,Build,SmallHouse,38,1,1,1,326,1741,4,3,1,
9,228.0675,Build,Supply,5,28,1,1,1741,941,3,2,1,
9,236.7146,Build,SmallHouse,38,6,1,1,941,441,2,1,1,
10,338.5809,Build,Service,36,10,1,1,441,1296,4,2,1,
10,347.6433,Build,SmallHouse,43,1,1,1,1296,796,2,1,1,
10,349.8046,Build,SmallHouse,44,5,1,1,796,296,1,0,1,
11,365.8301,Build,Factory,1,33,1,1,296,1832,4,2,1,
11,380.8108,Build,SmallHouse,22,19,1,1,1832,1082,2,1,1,
11,385.6943,Build,SmallHouse,28,17,1,1,1082,582,1,0,1,
12,395.276,Build,SmallHouse,44,9,1,1,582,2653,5,4,1,
12,403.4088,Build,Service,44,13,1,1,2653,1653,4,2,1,
12,416.8259,Build,BigHouse,36,17,1,1,1653,203,2,1,1,
13,423.9783,Build,Supply,11,30,1,1,203,2402,5,4,1,
13,426.867,Build,Supply,11,34,1,1,2402,2402,4,4,0,Can't place building at specified location
13,427.9632,Build,Supply,11,35,1,1,2402,1602,4,3,1,
