Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,1.522305,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,3.855818,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,42.10076,Build,Supply,11,14,1,1,2250,1450,1,0,1,
2,53.76843,Build,SmallHouse,23,6,1,1,1450,1690,3,2,1,
2,63.76847,Build,BigHouse,28,6,1,1,1690,140,2,1,1,
3,74.56803,Build,Supply,5,14,1,1,140,1186,3,2,1,
3,89.86797,Build,SmallHouse,23,1,1,1,1186,436,2,1,1,
4,101.6007,Build,SmallHouse,17,11,1,1,436,686,3,2,1,
4,103.4501,Demolish,SmallHouse,17,11,1,0,686,936,2,1,1,
4,106.6334,Build,SmallHouse,18,11,1,1,936,436,1,0,1,
4,108.2337,Upgrade,SmallHouse,18,6,2,2,436,86,0,0,1,
5,113.1853,Build,SmallHouse,22,11,1,1,86,1906,3,3,0,Can't place building at specified location
5,113.7851,Build,SmallHouse,23,11,1,1,1906,1406,3,2,1,
5,124.2011,Build,SmallHouse,18,16,1,1,1406,106,2,1,1,
6,130.2897,Build,BigHouse,23,16,1,1,106,466,3,2,1,
6,150.9217,Upgrade,SmallHouse,23,11,2,2,466,116,2,2,1,
7,161.1601,Build,Supply,5,19,1,1,116,1021,3,2,1,
7,180.9442,Build,SmallHouse,31,13,1,1,1021,71,2,1,1,
8,202.2122,Build,BigHouse,35,6,1,1,71,1321,3,2,1,
8,208.5983,Build,SmallHouse,28,1,1,1,1321,221,2,1,1,
9,212.5325,Build,SmallHouse,33,1,1,1,221,1859,3,2,1,
9,214.17,Build,SmallHouse,38,1,1,1,1859,1359,2,1,1,
9,238.7165,Build,SmallHouse,43,6,1,1,1359,609,1,0,1,
10,246.9074,Build,Supply,11,19,1,1,609,2163,3,2,1,
10,252.0168,Build,BigHouse,35,13,1,1,2163,2163,2,2,0,Can't place building at specified location
10,253.5575,Build,BigHouse,36,13,1,1,2163,963,2,1,1,
10,260.7669,Demolish,SmallHouse,43,6,1,0,963,813,1,0,1,
11,267.7901,Build,BigHouse,42,6,1,1,813,3075,3,2,1,
11,273.5508,Build,SmallHouse,43,1,1,1,3075,2175,2,1,1,
11,275.6791,Build,SmallHouse,48,1,1,1,2175,1675,1,0,1,
12,290.1665,Build,Factory,1,24,1,1,1675,3023,3,1,1,
12,303.9801,Build,BigHouse,43,13,1,1,3023,1723,1,0,1,
13,311.6426,Build,Service,49,6,1,1,1723,3727,4,2,1,
13,318.2904,Build,BigHouse,50,13,1,1,3727,2127,2,1,1,
13,329.8224,Build,BigHouse,55,6,1,1,2127,1877,1,1,0,Can't place building at specified location
13,331.2063,Build,BigHouse,56,6,1,1,1877,677,1,0,1,
14,371.4356,Build,Supply,11,24,1,1,677,3149,4,3,1,
14,376.5404,Build,Supply,11,29,1,1,3149,2099,3,2,1,
14,380.0323,Build,Supply,5,32,1,1,2099,1299,2,1,1,
14,384.6698,Build,Supply,11,34,1,1,1299,499,1,0,1,
15,401.5518,Build,SmallHouse,32,17,1,1,499,4037,4,4,0,Can't place building at specified location
15,402.7395,Build,SmallHouse,31,17,1,1,4037,3537,4,3,1,
15,407.547,Build,BigHouse,24,22,1,1,3537,2337,3,2,1,
15,414.1241,Build,BigHouse,35,21,1,1,2337,887,2,1,1,
15,420.1706,Build,BigHouse,34,27,1,1,887,637,1,1,0,Can't place building at specified location
15,420.8956,Build,BigHouse,35,27,1,1,637,637,1,1,0,Not enough gold
15,421.8038,Build,BigHouse,35,28,1,1,637,637,1,1,0,Not enough gold
15,430.9109,Build,SmallHouse,53,1,1,1,637,137,1,0,1,
16,446.0108,Build,Supply,5,37,1,1,137,4423,4,3,1,
16,447.9086,Build,Supply,11,39,1,1,4423,3623,3,2,1,
16,454.7238,Build,BigHouse,35,27,1,1,3623,2423,2,1,1,
16,459.3601,Build,BigHouse,27,28,1,1,2423,1223,1,0,1,
17,475.3594,Build,BigHouse,35,33,1,1,1223,4876,4,3,1,
17,477.2455,Build,BigHouse,27,34,1,1,4876,3676,3,2,1,
17,487.6158,Build,Supply,5,42,1,1,3676,2626,2,1,1,
