Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,2.325137,Build,SmallHouse,18,1,1,1,4000,2750,3,2,1,
1,5.675007,Build,SmallHouse,18,6,1,1,2750,2250,2,1,1,
1,8.941987,Build,Supply,5,14,1,1,2250,1450,1,0,1,
2,12.22447,Upgrade,Supply,5,14,2,2,1450,1590,3,3,1,
2,14.09066,Upgrade,SmallHouse,18,6,2,2,1590,1240,3,3,1,
2,15.12383,Upgrade,SmallHouse,18,1,2,2,1240,890,3,3,1,
2,17.54169,Build,SmallHouse,23,1,1,1,890,390,3,2,1,
3,23.82362,Upgrade,SmallHouse,23,1,2,2,390,1350,3,3,1,
3,26.80737,Build,Service,23,6,1,1,1350,550,3,1,1,
3,28.07348,Upgrade,Service,23,6,1,2,550,550,1,1,0,Not enough gold
3,28.84189,Upgrade,SmallHouse,18,6,2,2,550,550,1,1,1,Upgrade failed - already at max level
3,29.12364,Upgrade,SmallHouse,18,6,2,2,550,550,1,1,1,Upgrade failed - already at max level
3,31.72345,Upgrade,Supply,5,14,2,2,550,550,1,1,1,Upgrade failed - already at max level
3,34.407,Build,SmallHouse,28,1,1,1,550,50,1,0,1,
4,38.62326,Build,Supply,10,14,1,1,50,960,3,3,0,Can't place building at specified location
4,39.6071,Build,Supply,11,15,1,1,960,160,3,2,1,
4,40.89032,Upgrade,Supply,11,15,1,2,160,160,2,2,0,Not enough gold
5,59.60646,Build,SmallHouse,18,10,1,1,160,670,3,2,1,
5,60.77455,Upgrade,SmallHouse,18,10,2,2,670,320,2,2,1,
5,61.5414,Upgrade,Service,23,6,1,2,320,320,2,2,0,Not enough gold
6,65.35784,Upgrade,Service,23,6,2,2,320,695,3,3,1,
6,66.55764,Upgrade,SmallHouse,28,1,2,2,695,345,3,3,1,
6,67.55797,Upgrade,SmallHouse,18,10,2,2,345,345,3,3,1,Upgrade failed - already at max level
7,76.15125,Upgrade,SmallHouse,28,1,2,2,345,1420,3,3,1,Upgrade failed - already at max level
7,76.91863,Upgrade,SmallHouse,23,1,2,2,1420,1420,3,3,1,Upgrade failed - already at max level
7,77.73582,Upgrade,SmallHouse,18,1,2,2,1420,1420,3,3,1,Upgrade failed - already at max level
7,78.28523,Upgrade,SmallHouse,18,6,2,2,1420,1420,3,3,1,Upgrade failed - already at max level
7,79.31776,Upgrade,SmallHouse,18,10,2,2,1420,1420,3,3,1,Upgrade failed - already at max level
7,79.85207,Upgrade,Service,23,6,2,2,1420,1420,3,3,1,Upgrade failed - already at max level
7,82.23524,Upgrade,Supply,11,15,2,2,1420,820,3,3,1,
7,87.18779,Build,SmallHouse,30,6,1,1,820,320,3,2,1,
7,88.43498,Upgrade,SmallHouse,30,6,1,2,320,320,2,2,0,Not enough gold
8,99.09569,Build,SmallHouse,33,1,1,1,320,1660,3,2,1,
8,100.0772,Upgrade,SmallHouse,33,1,2,2,1660,1310,2,2,1,
8,106.1992,Build,Service,35,6,1,1,1310,510,2,0,1,
8,107.6518,Upgrade,Service,35,6,1,2,510,510,0,0,0,Not enough gold
8,112.8923,Upgrade,SmallHouse,30,6,1,2,510,260,0,0,0,Not enough gold
9,119.9095,Build,SmallHouse,38,1,1,1,260,966,3,2,1,
9,132.0798,Build,SmallHouse,18,14,1,1,966,266,2,1,1,
10,135.5607,Upgrade,SmallHouse,18,14,2,2,266,1407,3,3,1,
10,138.1544,Upgrade,SmallHouse,30,6,2,2,1407,1057,3,3,1,
10,139.5319,Upgrade,Service,35,6,2,2,1057,357,3,3,1,
10,141.8778,Upgrade,SmallHouse,38,1,2,2,357,7,3,3,1,
11,145.954,Upgrade,SmallHouse,33,1,2,2,7,2298,3,3,1,Upgrade failed - already at max level
