Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,4.38821,Build,SmallHouse,17,1,1,1,4000,2750,3,2,1,
1,23.25265,Build,Supply,22,0,1,1,2750,1950,2,1,1,
1,29.68497,Build,SmallHouse,18,6,1,1,1950,1450,1,0,1,
2,47.11806,Build,BigHouse,3,14,1,1,1450,985,3,2,1,
2,52.80093,Build,SmallHouse,11,14,1,1,985,485,2,1,1,
2,57.63427,Upgrade,SmallHouse,18,6,2,2,485,135,1,1,1,
3,72.1002,Build,SmallHouse,11,18,1,1,135,1476,3,2,1,
3,80.26637,Build,BigHouse,3,20,1,1,1476,276,2,1,1,
4,90.01609,Build,Supply,27,0,1,1,276,207,3,2,1,
4,94.14898,Build,SmallHouse,23,6,1,1,207,207,2,2,0,Not enough gold
5,105.5498,Build,BigHouse,3,26,1,1,207,722,3,2,1,
5,131.2316,Build,SmallHouse,11,22,1,1,722,222,2,1,1,
6,158.7163,Upgrade,Supply,27,0,2,2,222,1229,3,3,1,
6,168.6657,Build,SmallHouse,11,26,1,1,1229,729,3,2,1,
6,173.0151,Build,SmallHouse,23,6,1,1,729,229,2,1,1,
7,182.697,Build,BigHouse,3,32,1,1,229,636,3,2,1,
7,186.2314,Build,SmallHouse,11,30,1,1,636,136,2,1,1,
8,195.9465,Build,Supply,32,0,1,1,136,2103,3,2,1,
8,204.7308,Build,SmallHouse,29,6,1,1,2103,1353,2,1,1,
8,226.3147,Build,SmallHouse,34,6,1,1,1353,253,1,0,1,
9,250.1689,Build,BigHouse,21,10,1,1,253,1256,3,2,1,
9,252.339,Build,BigHouse,21,16,1,1,1256,56,2,1,1,
10,258.2307,Upgrade,Supply,32,0,2,2,56,1967,3,3,1,
10,265.5142,Build,SmallHouse,29,10,1,1,1967,1467,3,2,1,
10,267.3816,Build,SmallHouse,29,14,1,1,1467,967,2,1,1,
10,275.3592,Build,SmallHouse,34,10,1,1,967,167,1,0,1,
11,303.8423,Build,Service,11,34,1,1,167,2966,3,1,1,
11,315.1115,Build,Supply,37,0,1,1,2966,2166,1,0,1,
12,325.0198,Build,Factory,2,38,1,1,2166,4044,3,1,1,
12,335.8651,Build,SmallHouse,33,14,1,1,4044,3294,1,1,0,Can't place building at specified location
12,337.725,Build,SmallHouse,34,14,1,1,3294,2794,1,0,1,
13,351.669,Build,BigHouse,21,22,1,1,2794,4747,4,3,1,
13,354.3013,Build,SmallHouse,29,18,1,1,4747,4247,3,2,1,
13,355.8622,Build,SmallHouse,34,18,1,1,4247,3747,2,1,1,
13,366.5842,Build,BigHouse,21,28,1,1,3747,1897,1,0,1,
13,368.7342,Upgrade,BigHouse,21,28,2,2,1897,1147,0,0,1,
13,370.2732,Upgrade,BigHouse,21,22,2,2,1147,397,0,0,1,
13,372.2637,Upgrade,SmallHouse,29,18,2,2,397,47,0,0,1,
14,829.5635,Build,Supply,42,0,1,1,47,2208,4,3,1,
14,842.5513,Build,SmallHouse,29,22,1,1,2208,1508,3,2,1,
14,843.9404,Build,SmallHouse,34,22,1,1,1508,1008,2,1,1,
14,845.8808,Build,SmallHouse,29,26,1,1,1008,508,1,0,1,
14,847.6052,Upgrade,SmallHouse,29,26,2,2,508,158,0,0,1,
15,856.1479,Build,SmallHouse,34,26,1,1,158,3047,4,3,1,
15,857.5074,Build,SmallHouse,29,30,1,1,3047,2547,3,2,1,
15,859.0184,Build,SmallHouse,34,30,1,1,2547,2047,2,1,1,
15,865.5127,Build,BigHouse,21,34,1,1,2047,747,1,0,1,
15,868.5817,Upgrade,BigHouse,21,34,1,2,747,747,0,0,0,Not enough gold
15,870.7983,Upgrade,BigHouse,21,34,1,2,747,747,0,0,0,Not enough gold
15,872.1158,Upgrade,SmallHouse,29,30,2,2,747,397,0,0,1,
15,872.7841,Upgrade,SmallHouse,34,30,2,2,397,47,0,0,1,
16,883.3258,Upgrade,Supply,42,0,2,2,47,4260,4,4,1,
16,886.1953,Build,Supply,47,0,1,1,4260,3460,4,3,1,
16,888.1953,Upgrade,Supply,47,0,2,2,3460,2860,3,3,1,
16,896.0833,Build,BigHouse,40,6,1,1,2860,1660,3,2,1,
16,898.6706,Build,BigHouse,40,13,1,1,1660,460,2,1,1,
16,909.7059,Upgrade,SmallHouse,34,26,2,2,460,110,1,1,1,
17,916.7323,Build,Service,29,34,1,1,110,4099,4,2,1,
17,926.1538,Build,BigHouse,40,19,1,1,4099,2649,2,1,1,
17,928.5272,Build,BigHouse,40,25,1,1,2649,1449,1,0,1,
17,934.4517,Upgrade,BigHouse,40,6,2,2,1449,699,0,0,1,
17,936.7457,Upgrade,SmallHouse,34,6,2,2,699,349,0,0,1,
17,937.5934,Upgrade,SmallHouse,29,6,1,2,349,349,0,0,0,Not enough gold
18,946.0195,Build,Supply,51,3,1,1,349,5038,4,4,0,Can't place building at specified location
18,955.3848,Build,Supply,52,0,1,1,5038,4088,4,3,1,
18,958.0164,Upgrade,Supply,52,0,2,2,4088,3488,3,3,1,
18,960.7334,Build,BigHouse,47,6,1,1,3488,2288,3,2,1,
18,966.2627,Build,BigHouse,40,31,1,1,2288,1088,2,1,1,
18,975.0764,Build,SmallHouse,40,37,1,1,1088,588,1,0,1,
19,981.3103,Upgrade,BigHouse,40,31,2,2,588,5493,4,4,1,
19,983.3293,Upgrade,BigHouse,40,25,2,2,5493,4743,4,4,1,
19,985.235,Upgrade,BigHouse,40,19,2,2,4743,3993,4,4,1,
19,986.8765,Upgrade,BigHouse,40,13,2,2,3993,3243,4,4,1,
19,988.9476,Upgrade,BigHouse,40,6,2,2,3243,3243,4,4,1,Upgrade failed - already at max level
19,990.2538,Upgrade,BigHouse,47,6,2,2,3243,2493,4,4,1,
19,1002.983,Build,SmallHouse,34,40,1,1,2493,1793,4,3,1,
19,1005.089,Build,SmallHouse,40,41,1,1,1793,1293,3,2,1,
19,1017.333,Build,SmallHouse,23,40,1,1,1293,543,2,1,1,
19,1019.692,Build,SmallHouse,29,40,1,1,543,43,1,0,1,
20,1051.255,Build,BigHouse,39,45,1,1,43,4331,4,3,1,
20,1053.334,Build,BigHouse,32,44,1,1,4331,3131,3,2,1,
20,1062.611,Build,BigHouse,25,45,1,1,3131,2931,2,2,0,No road access for building
20,1063.735,Build,BigHouse,25,44,1,1,2931,1731,2,1,1,
20,1081.13,Upgrade,BigHouse,3,26,2,2,1731,981,1,1,1,
20,1082.581,Upgrade,BigHouse,3,20,2,2,981,231,1,1,1,
