Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,4.298268,Build,Supply,5,14,1,1,4000,2450,3,2,1,
1,7.014649,Build,SmallHouse,17,1,1,1,2450,1950,2,1,1,
1,10.39768,Build,SmallHouse,18,6,1,1,1950,1450,1,0,1,
2,14.49761,Build,Supply,11,14,1,1,1450,1390,3,2,1,
2,18.69709,Build,SmallHouse,22,1,1,1,1390,890,2,1,1,
2,28.38,Build,SmallHouse,27,1,1,1,890,40,1,0,1,
3,33.61428,Build,BigHouse,23,6,1,1,40,620,3,2,1,
4,49.79642,Build,SmallHouse,32,1,1,1,620,970,3,2,1,
4,57.06336,Build,Service,30,6,1,1,970,170,2,0,1,
5,63.53337,Build,Supply,5,20,1,1,170,612,3,2,1,
5,69.3663,Build,SmallHouse,37,1,1,1,612,112,2,1,1,
6,75.93806,Build,Supply,11,19,1,1,112,719,3,2,1,
7,247.5733,Build,SmallHouse,42,1,1,1,719,1276,3,2,1,
7,257.2736,Build,SmallHouse,18,10,1,1,1276,326,2,1,1,
8,265.8012,Upgrade,SmallHouse,42,1,2,2,326,2423,3,3,1,
8,266.5685,Upgrade,SmallHouse,37,1,2,2,2423,2073,3,3,1,
8,272.3024,Build,SmallHouse,38,6,1,1,2073,1573,3,2,1,
8,284.2016,Build,Supply,5,25,1,1,1573,523,2,1,1,
8,286.2525,Build,Supply,11,24,1,1,523,523,1,1,0,Not enough gold
8,295.2187,Build,SmallHouse,43,6,1,1,523,273,1,1,0,Not enough gold
9,299.9669,Build,SmallHouse,43,6,1,1,273,1585,3,2,1,
9,302.9731,Build,SmallHouse,47,1,1,1,1585,1085,2,1,1,
9,304.5298,Build,SmallHouse,48,6,1,1,1085,585,1,0,1,
9,306.6376,Upgrade,SmallHouse,48,6,2,2,585,235,0,0,1,
10,312.5949,Upgrade,SmallHouse,18,6,2,2,235,2057,3,3,1,
10,313.2283,Upgrade,SmallHouse,18,10,2,2,2057,1707,3,3,1,
10,314.1285,Upgrade,SmallHouse,17,1,2,2,1707,1357,3,3,1,
10,314.684,Upgrade,SmallHouse,22,1,2,2,1357,1007,3,3,1,
10,319.1255,Build,Supply,11,24,1,1,1007,207,3,2,1,
11,467.2569,Build,SmallHouse,53,6,1,1,207,2329,3,2,1,
11,468.9676,Build,SmallHouse,52,1,1,1,2329,1829,2,1,1,
11,473.695,Upgrade,SmallHouse,38,6,2,2,1829,1479,1,1,1,
11,474.6653,Upgrade,SmallHouse,43,6,2,2,1479,1129,1,1,1,
11,475.336,Upgrade,SmallHouse,48,6,2,2,1129,1129,1,1,1,Upgrade failed - already at max level
11,476.4423,Upgrade,SmallHouse,53,6,2,2,1129,779,1,1,1,
11,486.8315,Build,Supply,5,30,1,1,779,479,1,1,0,Not enough gold
12,494.1912,Build,Supply,5,30,1,1,479,2091,3,2,1,
12,496.302,Build,Supply,11,29,1,1,2091,1291,2,1,1,
13,519.3654,Build,SmallHouse,25,12,1,1,1291,2203,3,2,1,
13,521.8872,Build,SmallHouse,30,12,1,1,2203,1703,2,1,1,
13,523.7773,Upgrade,SmallHouse,30,12,2,2,1703,1353,1,1,1,
13,524.6381,Upgrade,SmallHouse,25,12,2,2,1353,1003,1,1,1,
13,526.1165,Upgrade,BigHouse,23,6,2,2,1003,253,1,1,1,
14,531.5462,Upgrade,SmallHouse,32,1,2,2,253,2645,3,3,1,
14,532.1754,Upgrade,SmallHouse,27,1,2,2,2645,2295,3,3,1,
14,532.9396,Upgrade,SmallHouse,22,1,2,2,2295,2295,3,3,1,Upgrade failed - already at max level
14,533.6752,Upgrade,SmallHouse,17,1,2,2,2295,2295,3,3,1,Upgrade failed - already at max level
14,534.5909,Upgrade,SmallHouse,37,1,2,2,2295,2295,3,3,1,Upgrade failed - already at max level
14,535.2428,Upgrade,SmallHouse,42,1,2,2,2295,2295,3,3,1,Upgrade failed - already at max level
14,535.7455,Upgrade,SmallHouse,38,6,2,2,2295,2295,3,3,1,Upgrade failed - already at max level
14,536.3649,Upgrade,SmallHouse,43,6,2,2,2295,2295,3,3,1,Upgrade failed - already at max level
14,539.854,Upgrade,SmallHouse,47,1,2,2,2295,1945,3,3,1,
