Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,2.962893,Build,Supply,5,14,1,1,4000,2450,3,2,1,
1,6.412142,Build,SmallHouse,17,1,1,1,2450,1950,2,1,1,
1,8.06796,Build,SmallHouse,22,1,1,1,1950,1450,1,0,1,
2,16.06056,Build,BigHouse,18,6,1,1,1450,990,3,2,1,
2,22.76044,Build,SmallHouse,27,1,1,1,990,90,2,1,1,
3,32.0688,Build,Service,25,6,1,1,90,1136,3,1,1,
3,39.36843,Build,SmallHouse,32,1,1,1,1136,236,1,0,1,
4,45.43797,Build,BigHouse,32,6,1,1,236,103,3,2,1,
5,50.44984,Build,Supply,11,14,1,1,103,550,3,2,1,
5,54.9496,Build,SmallHouse,37,2,1,1,550,550,2,2,0,Can't place building at specified location
5,55.86673,Build,SmallHouse,37,1,1,1,550,50,2,1,1,
6,68.0711,Build,Supply,5,19,1,1,50,466,3,2,1,
6,71.63735,Upgrade,SmallHouse,27,1,2,2,466,116,2,2,1,
7,92.27709,Build,BigHouse,18,12,1,1,116,505,3,2,1,
7,106.879,Upgrade,SmallHouse,17,1,2,2,505,155,2,2,1,
8,111.6778,Build,Supply,11,19,1,1,155,2046,3,2,1,
8,127.1784,Build,BigHouse,25,12,1,1,2046,46,2,1,1,
9,142.5165,Build,Supply,5,24,1,1,46,1189,3,2,1,
9,155.3094,Demolish,SmallHouse,37,1,1,0,1189,1039,2,1,1,
9,158.309,Build,Service,32,13,1,1,1039,1039,1,1,0,Not enough action points
9,159.1699,Build,Service,32,13,1,1,1039,1039,1,1,0,Not enough action points
9,159.6544,Build,Service,32,12,1,1,1039,1039,1,1,0,Not enough action points
9,160.1404,Build,Service,32,12,1,1,1039,1039,1,1,0,Not enough action points
9,160.6606,Build,Service,32,12,1,1,1039,1039,1,1,0,Not enough action points
