Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1790,100,240,3,3,0,0,2,0,1,0,0,23,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1750,150,240,4,3,0,0,3,0,1,0,1,23,0.8,0.8,0.8,0,0,0,0,0,0,0,3,0,860
4,1290,245,240,4,2,0,0,5,0,1,0,1,34,0.78,0.78,0.78,0,0,0,0,0,0,0,5,0,1090
5,1207,278,240,4,2,0,0,7,0,1,0,1,39,0.5942857,0.56,0.6,0.01428571,0,0.1,0,0,0,1,7,0,1167
6,1742,348,480,4,1,0,0,7,0,2,0,1,39,0.7942858,0.76,0.8,0.01428571,0,0.1,0,0,0,1,7,0,1335
7,1817,448,480,4,2,0,0,9,0,2,0,1,49,0.7955557,0.76,0.8,0.01111111,0,0.1,0,0,0,1,9,0,1575
8,2968,562,480,4,3,0,0,12,0,2,0,1,49,0.7366666,0.7,0.74,0.008333334,0,0.1,0,0,0,1,12,0,1851
9,2463,753,720,4,3,0,0,13,1,3,0,1,54,0.7771429,0.74,0.78,0.007142857,0,0.1,0,0,0,1,14,0,2245
10,2648,918,960,4,4,0,0,16,1,4,0,1,57,0.7976472,0.76,0.8,0.005882353,0,0.1,0,0,0,1,17,0,2635
11,3845,1128,960,4,4,0,0,16,1,4,2,1,65,0.8270588,0.76,0.9,0.005882353,0,0.1,0.1470588,0,0.5,1,12,0,2397
12,3274,1496,1200,4,4,1,0,18,2,5,2,1,70,0.8379999,0.76,0.9,0.005,0,0.1,0.2,0,0.5,1,12,0,3029
13,3401,1858,1320,4,3,1,0,18,3,5,3,1,81,0.8552381,0.76,1,0.004761905,0,0.1,0.2857143,0,1,1,12,0,3277
14,3680,2056,1800,4,2,2,0,18,4,6,3,1,83,0.8572727,0.76,1,0.004545454,0,0.1,0.2954545,0,1,1,12,0,3579
15,5139,2222,1800,4,4,0,0,20,4,6,4,1,91,0.8608332,0.76,1,0.004166667,0,0.1,0.3125,0,1,1,12,0,3659
16,4763,2449,2520,4,3,4,0,21,4,8,4,1,96,0.8623998,0.76,1,0.004,0,0.1,0.32,0,1,1,12,0,3824
17,4656,2928,2760,4,3,4,0,22,6,8,4,1,108,0.8664284,0.76,1,0.003571429,0,0.1,0.3392857,0,1,1,12,0,4593
18,4799,3027,3360,5,4,2,0,22,6,10,4,2,114,0.8664284,0.76,1,0.003571429,0,0.1,0.3392857,0,1,1,12,0,4593
19,5227,3329,3360,6,4,3,0,23,7,10,4,3,132,0.8653331,0.76,1,0.003333333,0,0.1,0.3333333,0,1,1,13,0,4978
20,5391,3620,3840,7,5,2,0,23,8,12,4,4,132,0.8638708,0.76,1,0.009677419,0,0.1,0.3387097,0,1,3,13,0,5264
21,6030,3926,4200,7,5,2,0,26,9,13,4,4,148,0.8594283,0.76,1,0.008571429,0,0.1,0.3142857,0,1,3,16,0,5889
