Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1800,150,240,4,3,0,0,3,0,1,0,1,22,0.8,0.8,0.8,0,0,0,0,0,0,0,3,0,860
4,1228,282,240,4,3,0,0,6,0,1,0,1,27,0.74,0.74,0.74,0,0,0,0,0,0,0,6,0,1178
5,1448,300,480,4,1,0,0,6,0,2,0,1,31,0.8,0.8,0.8,0,0,0,0,0,0,0,6,0,1220
6,1608,400,480,4,2,0,0,8,0,2,0,1,37,0.8000001,0.8,0.8,0,0,0,0,0,0,0,8,0,1460
7,1618,582,480,4,3,0,0,9,0,2,1,1,41,0.8444445,0.8,0.9,0,0,0,0.2222222,0,0.5,0,5,0,1510
8,2926,672,480,4,2,0,0,11,0,2,1,1,45,0.7854546,0.74,0.84,0,0,0,0.2272727,0,0.5,0,6,0,1708
9,2241,765,960,4,3,0,0,12,0,4,1,1,55,0.8416667,0.8,0.9,0,0,0,0.2083333,0,0.5,0,7,0,1915
10,2346,865,1200,4,3,0,0,14,0,5,1,1,60,0.8357143,0.8,0.9,0,0,0,0.1785714,0,0.5,0,9,0,2155
11,3382,1068,1200,4,4,0,0,16,0,5,2,1,65,0.85,0.8,1,0,0,0,0.25,0,1,0,9,0,2286
12,3153,1201,1200,5,4,0,0,18,0,5,2,2,77,0.85,0.8,1,0,0,0,0.25,0,1,0,10,0,2571
13,3202,1681,1200,5,4,0,0,19,1,5,3,2,86,0.8649999,0.8,1,0,0,0,0.35,0,1.5,0,10,0,2999
14,3571,1731,1680,5,3,0,0,20,1,7,3,2,99,0.8619047,0.8,1,0,0,0,0.3333333,0,1.5,0,11,0,3119
15,3820,1931,1920,5,5,0,0,24,1,8,3,2,110,0.8519998,0.8,1,0,0,0,0.28,0,1.5,0,15,0,3599
16,5201,2295,1920,6,5,0,0,26,2,8,3,3,115,0.8571426,0.8,1,0,0,0,0.3035714,0,1.5,0,15,0,4231
17,4824,2653,2400,6,5,0,0,26,3,10,4,3,140,0.8689653,0.8,1,0,0,0,0.362069,0,1.5,0,14,0,4473
18,5566,3097,2640,6,4,0,0,27,5,11,4,3,155,0.8674998,0.76,1,0.003125,0,0.1,0.359375,0,1.5,1,15,0,5192
19,5548,3197,3600,6,6,0,0,29,5,15,4,3,180,0.8635291,0.76,1,0.002941177,0,0.1,0.3382353,0,1.5,1,17,0,5432
20,7173,3544,3600,7,6,0,1,28,6,15,5,4,200,0.8723527,0.76,1,0.002941177,0,0.1,0.3970588,0,1.5,1,16,0,5575
21,6768,4124,3600,7,6,0,0,30,10,15,5,4,226,0.8614997,0.76,1,0.0025,0,0.1,0.3375,0,1.5,1,22,0,6695
