Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1936,254,240,3,2,0,0,3,1,1,0,0,23,0.74,0.74,0.74,0,0,0,0,0,0,0,4,0,1046
4,1303,442,240,3,3,0,0,4,1,1,1,0,31,0.76,0.68,0.78,0,0,0,0.4,0,0.5,0,1,0,1067
5,1350,565,240,3,1,0,0,4,2,1,1,0,31,0.6833333,0.6,0.7,0,0,0,0.4166667,0,0.5,0,1,0,1247
6,1616,729,480,3,2,0,0,5,2,2,1,0,31,0.8514286,0.78,0.88,0,0,0,0.3571429,0,0.5,0,2,0,1566
7,1705,749,720,3,1,1,0,5,2,3,1,0,38,0.8714286,0.8,0.9,0,0,0,0.3571429,0,0.5,0,2,0,1589
8,2846,950,720,3,1,1,0,5,3,3,1,0,38,0.8750001,0.8,0.9,0,0,0,0.375,0,0.5,0,2,0,1891
9,2239,1148,960,3,2,0,0,5,4,4,1,0,54,0.8777778,0.8,0.9,0,0,0,0.3888889,0,0.5,0,2,0,2193
10,2732,1148,1200,3,3,0,1,5,4,5,1,0,67,0.8777778,0.8,0.9,0,0,0,0.3888889,0,0.5,0,2,0,2193
11,3463,1328,1200,3,2,2,0,5,4,5,2,0,67,0.9,0.8,1,0,0,0,0.5,0,1,0,2,0,2131
12,2356,1794,1200,3,3,3,0,5,5,5,3,0,67,0.91,0.8,1,0,0,0,0.6,0,1.5,0,2,0,2343
13,2469,1844,1680,3,3,0,0,6,5,7,3,0,72,0.9,0.8,1,0,0,0,0.5454546,0,1.5,0,3,0,2463
14,2732,1844,1920,4,3,0,0,6,5,8,3,1,76,0.9,0.8,1,0,0,0,0.5454546,0,1.5,0,3,0,2463
15,3721,2082,2160,4,3,0,1,5,6,9,3,1,76,0.9181818,0.8,1,0,0,0,0.6363636,0,1.5,0,2,0,2739
16,4169,2674,2160,4,4,0,0,5,8,9,4,1,85,0.9307692,0.8,1,0,0,0,0.7307692,0,1.5,0,1,0,3298
17,3719,2872,2880,4,4,0,0,5,9,12,4,1,94,0.9285713,0.8,1,0,0,0,0.7142857,0,1.5,0,1,0,3600
18,4125,3322,3120,4,4,0,0,5,10,13,5,1,108,0.9399999,0.8,1,0,0,0,0.8,0,1.5,0,1,0,3906
19,4918,3723,3120,4,3,0,0,6,12,13,5,1,126,0.9277777,0.8,1,0,0,0,0.7222222,0,1.5,0,2,0,4593
20,5061,4434,3120,4,0,7,0,6,12,13,5,1,126,0.9277777,0.8,1,0,0,0,0.7222222,0,1.5,0,2,0,4593
21,4690,4849,3840,4,3,6,0,6,12,14,6,1,126,0.9444444,0.8,1,0,0,0,0.8333333,0,1.5,0,1,0,4679
