Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1185,168,240,3,3,0,0,1,1,1,0,0,23,0.78,0.76,0.8,0.05,0,0.1,0,0,0,1,2,0,835
3,2021,250,240,3,2,0,0,3,1,1,0,0,23,0.72,0.7,0.74,0.05,0,0.1,0,0,0,2,4,0,1036
4,1301,308,240,3,1,0,0,3,2,1,0,0,36,0.584,0.56,0.6,0.04,0,0.1,0,0,0,2,5,0,1130
5,1519,339,240,3,2,0,0,5,2,1,0,0,36,0.4885714,0.46,0.5,0.02857143,0,0.1,0,0,0,2,7,0,1218
6,1489,315,240,4,2,0,0,5,2,1,0,1,36,0.4485714,0.36,0.5,0.1142857,0,0.3,0,0,0,4,7,0,1170
7,1613,399,240,4,1,0,0,5,3,1,0,1,36,0.455,0.36,0.5,0.1,0,0.3,0,0,0,4,8,0,1324
8,1555,469,240,4,2,0,0,7,3,1,0,1,47,0.464,0.36,0.5,0.08,0,0.3,0,0,0,4,10,0,1492
9,1732,567,240,4,3,0,0,10,3,1,0,1,48,0.4615385,0.36,0.5,0.08461539,0,0.3,0,0,0,5,13,0,1727
10,2340,651,480,4,1,0,0,10,3,2,0,1,58,0.5584615,0.46,0.6,0.09230769,0,0.3,0,0,0,6,13,0,1908
11,3279,1013,720,4,4,0,0,11,3,3,1,1,58,0.6914286,0.54,0.78,0.08571429,0,0.3,0.25,0,0.5,6,7,0,2239
12,2728,1050,720,5,4,0,0,13,3,3,1,2,72,0.6512501,0.46,0.78,0.175,0,0.6,0.21875,0,0.5,10,9,0,2349
13,2803,1061,720,5,2,0,0,14,4,3,1,2,84,0.5588889,0.38,0.7,0.1888889,0,0.6,0.1944444,0,0.5,12,11,0,2375
14,2886,1309,1200,5,4,0,1,14,4,5,1,2,103,0.7511111,0.58,0.9,0.1944444,0,0.6,0.1666667,0,0.5,13,12,0,2883
15,3168,1450,1200,5,2,0,0,14,6,5,1,2,112,0.696,0.52,0.84,0.175,0,0.6,0.15,0,0.5,13,14,0,3132
16,4603,1662,1440,5,3,1,0,16,6,6,1,2,118,0.7363636,0.56,0.88,0.1681818,0,0.6,0.1363636,0,0.5,15,16,0,3485
17,3821,1744,1440,5,3,3,0,17,8,6,1,2,127,0.6360002,0.46,0.78,0.16,0,0.6,0.12,0,0.5,16,19,0,3618
18,3539,1760,1440,5,1,4,0,17,9,6,1,2,141,0.5576924,0.38,0.7,0.1538461,0,0.6,0.1153846,0,0.5,16,20,0,3468
19,4387,1960,1440,5,5,0,0,22,9,6,1,2,153,0.5645162,0.38,0.7,0.1290323,0,0.6,0.09677419,0,0.5,16,25,0,3948
20,4913,2248,1440,5,3,0,0,22,12,6,1,2,160,0.5676472,0.38,0.7,0.1176471,0,0.6,0.0882353,0,0.5,16,28,0,4476
21,4345,2234,1440,5,3,4,0,24,13,6,1,2,160,0.4664865,0.28,0.6,0.1162162,0,0.6,0.08108108,0,0.5,17,31,0,4232
