Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2134,35,0,4,3,0,0,1,0,0,0,1,15,0.5,0.5,0.5,0,0,0,0,0,0,0,1,0,584
3,1977,143,240,4,3,0,0,3,0,1,0,1,15,0.7533333,0.66,0.8,0.1,0,0.3,0,0,0,1,3,0,843
4,1270,146,240,5,2,1,0,3,0,1,0,2,15,0.7533333,0.66,0.8,0.1,0,0.3,0,0,0,1,3,0,843
5,1828,194,240,5,1,0,0,4,0,1,0,2,23,0.755,0.66,0.8,0.1,0,0.3,0,0,0,2,4,0,958
6,1178,273,240,5,3,0,0,7,0,1,0,2,29,0.5742857,0.46,0.6,0.05714286,0,0.3,0,0,0,2,7,0,1150
7,1674,313,240,5,1,0,0,8,0,1,0,2,34,0.5775,0.46,0.6,0.05,0,0.3,0,0,0,2,8,0,1246
8,1576,378,240,5,3,0,0,11,0,1,0,2,34,0.4836364,0.36,0.5,0.03636364,0,0.3,0,0,0,2,11,0,1402
9,1946,448,240,5,2,0,0,13,0,1,0,2,38,0.4861539,0.36,0.5,0.03076923,0,0.3,0,0,0,2,13,0,1570
10,1700,483,240,6,3,0,0,14,0,1,0,3,42,0.4871429,0.36,0.5,0.02857143,0,0.3,0,0,0,2,14,0,1654
11,2974,533,240,6,2,0,0,16,0,1,0,3,48,0.46375,0.1,0.5,0.08125,0,0.9,0,0,0,3,16,0,1774
12,2533,652,240,6,4,0,0,20,0,1,0,3,58,0.45,0.1,0.5,0.11,0,0.9,0,0,0,6,20,0,2059
13,2528,792,240,6,4,0,0,24,0,1,0,3,66,0.4583333,0.1,0.5,0.09166667,0,0.9,0,0,0,6,24,0,2395
14,2707,827,240,7,3,0,0,25,0,1,0,4,78,0.46,0.1,0.5,0.088,0,0.9,0,0,0,6,25,0,2479
15,2822,967,240,7,4,0,0,29,0,1,0,4,92,0.4655173,0.1,0.5,0.07586207,0,0.9,0,0,0,6,29,0,2815
16,3800,1035,480,7,3,0,0,31,0,2,0,4,112,0.4664516,0.1,0.5,0.07419354,0,0.9,0,0,0,7,31,0,2978
17,3532,1245,480,7,6,0,0,37,0,2,0,4,127,0.4718919,0.1,0.5,0.06216216,0,0.9,0,0,0,7,37,0,3482
18,3756,1346,720,8,6,0,0,40,0,3,0,5,127,0.4719999,0.1,0.5,0.06249999,0,0.9,0,0,0,9,40,0,3724
19,4595,1519,720,8,5,0,0,45,0,3,0,5,143,0.4742222,0.1,0.5,0.05777777,0,0.9,0,0,0,10,45,0,4139
20,5649,1692,720,8,5,0,0,50,0,3,0,5,163,0.4759999,0.1,0.5,0.05399999,0,0.9,0,0,0,11,50,0,4554
21,4920,1762,720,10,7,1,0,53,0,3,0,7,170,0.4641509,0.1,0.5,0.07924527,0,0.9,0,0,0,16,53,0,4721
