Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1986,254,240,3,2,0,0,3,1,1,0,0,22,0.74,0.74,0.74,0,0,0,0,0,0,0,4,0,1046
4,1636,320,480,3,2,0,0,4,1,2,0,0,27,0.8,0.8,0.8,0,0,0,0,0,0,0,5,0,1200
5,1906,373,480,3,3,1,1,5,1,2,0,0,36,0.8,0.8,0.8,0,0,0,0,0,0,0,6,0,1320
6,1666,473,480,3,2,0,0,7,1,2,0,0,52,0.8000001,0.8,0.8,0,0,0,0,0,0,0,8,0,1560
7,1821,561,480,3,1,1,0,7,2,2,0,0,52,0.74,0.74,0.74,0,0,0,0,0,0,0,9,0,1705
8,2771,646,720,3,2,0,0,8,2,3,0,0,61,0.8000001,0.8,0.8,0,0,0,0,0,0,0,10,0,1900
9,2359,768,720,3,2,0,0,9,3,3,0,0,78,0.7399999,0.74,0.74,0,0,0,0,0,0,0,12,0,2138
10,2963,852,720,3,3,0,0,12,3,3,0,0,83,0.68,0.68,0.68,0,0,0,0,0,0,0,15,0,2354
11,4275,1017,960,3,3,0,1,11,4,4,0,0,91,0.78,0.78,0.78,0,0,0,0,0,0,0,15,0,2662
12,4523,1108,960,3,3,0,0,13,5,4,0,0,99,0.6800001,0.68,0.68,0,0,0,0,0,0,0,18,0,2848
13,4527,1100,960,4,3,0,0,13,6,4,0,1,107,0.6000001,0.6,0.6,0,0,0,0,0,0,0,19,0,2804
14,3949,1610,960,4,4,0,0,13,8,4,1,1,120,0.6285714,0.6,0.7,0,0,0,0.1428571,0,0.5,0,15,0,3272
15,4487,1994,1920,4,4,0,0,13,8,8,1,1,125,0.8285714,0.8,0.9,0,0,0,0.1428571,0,0.5,0,15,0,3988
16,5573,2321,1920,4,4,0,0,15,10,8,1,1,144,0.808,0.78,0.88,0,0,0,0.14,0,0.5,0,18,0,4636
17,6076,2607,2400,4,4,0,0,15,12,10,1,1,157,0.8259258,0.8,0.9,0,0,0,0.1296296,0,0.5,0,20,0,5153
18,7419,2847,2880,4,4,0,0,15,14,12,1,1,162,0.8241377,0.8,0.9,0,0,0,0.1206897,0,0.5,0,22,0,5593
19,6239,3348,2880,4,4,5,0,18,15,12,1,1,178,0.8012123,0.78,0.88,0,0,0,0.1060606,0,0.5,0,26,0,6070
20,8545,3590,2880,4,4,0,0,18,17,12,2,1,191,0.7657142,0.74,0.84,0,0,0,0.1285714,0,0.5,0,26,0,6156
21,6944,4360,3360,4,4,5,0,18,19,14,2,1,201,0.767027,0.74,0.84,0,0,0,0.1351351,0,0.5,0,27,0,6649
