Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1670,166,480,3,3,0,0,2,0,2,1,0,21,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,580
4,1185,299,480,3,2,0,0,4,0,2,1,0,28,0.8750001,0.8,0.9,0,0,0,0.375,0,0.5,0,1,0,865
5,1380,465,480,3,2,0,0,6,0,2,1,0,28,0.8833334,0.8,0.9,0,0,0,0.4166667,0,0.5,0,1,0,1195
6,1525,465,720,3,1,0,0,6,0,3,1,0,33,0.8833334,0.8,0.9,0,0,0,0.4166667,0,0.5,0,1,0,1195
7,1760,565,720,3,2,0,0,8,0,3,1,0,37,0.8625001,0.8,0.9,0,0,0,0.3125,0,0.5,0,3,0,1435
8,2557,755,720,3,3,0,0,9,0,3,2,0,41,0.9,0.8,1,0,0,0,0.5,0,1,0,2,0,1497
9,2094,855,960,3,3,0,0,11,0,4,2,0,49,0.8818182,0.8,1,0,0,0,0.4090909,0,1,0,4,0,1737
10,2203,1103,960,3,2,0,0,12,1,4,2,0,56,0.8769231,0.8,1,0,0,0,0.3846154,0,1,0,5,0,2159
11,3082,1157,1200,3,2,1,0,13,1,5,2,0,67,0.8714286,0.8,1,0,0,0,0.3571429,0,1,0,6,0,2279
12,3695,1313,1440,3,3,0,0,13,1,6,3,0,67,0.8928571,0.8,1,0,0,0,0.4642857,0,1,0,4,0,2213
13,4335,1378,1440,4,3,0,0,14,1,6,3,1,67,0.8746666,0.66,1,0.04,0,0.3,0.4666667,0,1,2,4,0,2340
14,2897,1637,1920,4,4,4,0,15,2,8,3,1,71,0.8717647,0.66,1,0.03529412,0,0.3,0.4411765,0,1,2,5,0,2762
15,3304,1988,1920,4,3,2,0,18,2,8,3,1,76,0.8759999,0.66,1,0.03,0,0.3,0.45,0,1,2,5,0,3257
16,4265,2244,2160,4,4,1,0,19,2,9,4,1,90,0.8866666,0.66,1,0.02857143,0,0.3,0.5,0,1,2,4,0,3311
17,3756,2414,2640,4,4,2,0,21,2,11,4,1,100,0.887826,0.66,1,0.02608696,0,0.3,0.5,0,1,2,4,0,3641
18,4427,2605,2640,4,2,9,0,23,2,11,4,1,104,0.8887999,0.66,1,0.024,0,0.3,0.5,0,1,2,4,0,3971
19,4885,3043,2640,4,3,3,0,25,3,11,4,1,113,0.8864284,0.66,1,0.02142857,0,0.3,0.4821429,0,1,2,5,0,4558
20,4813,3107,3360,4,4,6,0,26,3,14,4,1,122,0.8834481,0.66,1,0.02068966,0,0.3,0.4655173,0,1,2,6,0,4678
21,5157,3580,3360,4,4,11,0,28,3,14,5,1,124,0.900645,0.66,1,0.01935484,0,0.3,0.5483871,0,1,2,4,0,5044
