session_id,avg_action_intensity,std_action_intensity,avg_upgrade_ratio,avg_demolish_ratio,avg_build_ratio,avg_build_house_ratio,avg_build_factory_ratio,avg_build_service_ratio,avg_build_supply_ratio,avg_build_road_ratio,avg_house_per_turn,avg_factory_per_turn,avg_service_per_turn,avg_supply_per_turn,avg_road_per_turn,avg_gold_per_population,avg_tax_per_population,avg_population_per_ap,avg_house_per_road,avg_bad_placement,avg_no_service,avg_low_satisfaction,avg_population_growth,avg_gold_growth,avg_supply_growth,avg_ap_growth,avg_satisfaction_growth,avg_service_growth,avg_pollution_growth,std_population_growth,std_gold_growth,std_supply_growth,std_satisfaction_growth,std_service_growth,std_pollution_growth,avg_satisfaction_index,avg_service_index,avg_pollution_index,total_population_growth,total_gold_growth,total_supply_growth,total_ap_growth,supply_efficiency,avg_supply_ratio,min_supply_ratio,service_to_house,factory_to_house,used_service_early,used_factory_early,early_service_ratio,early_factory_ratio,early_service_to_house,early_factory_to_house,final_turn,final_gold,final_population,final_supply,final_ap,final_satisfaction,final_service,final_pollution
20260406_022221,0.7833333333333333,0.29847495973247334,0.031746031746031744,0.002898550724637681,0.8986887508626641,0.3081279831279832,0.008333333333333333,0.01623931623931624,0.054365079365079366,0.5462676212676212,1.6,0.06666666666666667,0.13333333333333333,0.3333333333333333,5.933333333333334,3.7383361958429115,2.6118274685282445,306.8555555555556,0.18613756613756613,0.20768882361761618,0.8438378494570444,0.0,106.8,-9.066666666666666,80.0,0.06666666666666667,0.03883333333333334,0.006944446666666667,0.0055555560000000006,69.88991343534487,655.2899539971019,117.10800875382398,0.14843288076805564,0.022787816010142556,0.011111647048268322,0.5691747066666667,0.04474774533333334,0.027846213266666666,1602,-136,1200,1,0.7490636704119851,0.685914731833733,0.0,0.08333328125003255,0.04166664062501627,0,0,0.0,0.0,0.0,0.0,15,3114,1602,1200,4,0.5825,0.1041667,0.08333334
20260406_024805,0.7611111111111112,0.2935596169047246,0.03888888888888889,0.012222222222222223,0.8822222222222222,0.2207837776258829,0.006666666666666667,0.004166666666666667,0.07484367484367485,0.6268725475304423,1.4,0.06666666666666667,0.06666666666666667,0.5333333333333333,7.333333333333333,4.976830877259335,3.02676848133042,280.6111111111111,0.14696198137374605,0.0,0.8952380952380952,0.0,132.93333333333334,82.46666666666667,128.0,0.06666666666666667,0.05523809333333333,0.009523806666666666,0.0,137.80082244553793,608.4923836436911,254.42371857086866,0.22088258530224497,0.03688554461249917,0.0,0.6944762066666665,0.01904761333333333,0.0,1994,1237,1920,1,0.9628886659979939,1.0815392014324479,0.5962732919254659,0.04761901360546648,0.04761901360546648,0,0,0.0,0.0,0.0,0.0,15,4487,1994,1920,4,0.8285714,0.1428571,0.0
20260406_050133,0.5544444444444444,0.2898731705875089,0.0,0.0030303030303030303,0.9303030303030303,0.32884990826167293,0.07058823529411765,0.02222222222222222,0.04069264069264069,0.4709803268626798,1.3333333333333333,0.13333333333333333,0.06666666666666667,0.3333333333333333,6.466666666666667,3.696209961443654,2.9076564663659314,292.53333333333336,0.2693658193658193,0.47305046805046813,0.8026851851851851,0.0,96.66666666666667,-5.466666666666667,80.0,0.13333333333333333,0.0464,0.01,0.011666666666666665,100.78879378373843,718.4601456952091,148.13121596360824,0.22139854687762256,0.06740957127755884,0.035191006262180254,0.5539214333333333,0.06532407333333333,0.09725518666666667,1450,-82,1200,2,0.8275862068965517,0.7664925750772297,0.42328042328042326,0.04999996250002813,0.09999992500005626,0,0,0.0,0.0,0.0,0.0,15,3168,1450,1200,5,0.696,0.15,0.175
20260406_051143,0.40555555555555556,0.2423157675780328,0.0,0.03333333333333333,0.9,0.36948051948051946,0.07407407407407408,0.0,0.07777777777777778,0.4120009620009621,1.3333333333333333,0.2,0.0,0.13333333333333333,3.7333333333333334,10.513825073834177,4.869341696164071,180.0388888888889,0.15487012987012988,0.7157153957153958,0.9333333333333333,0.0,46.46666666666667,-75.4,32.0,0.2,0.028266666666666666,0.0,0.010666666666666666,30.81712572734904,562.5981565151859,84.44778606587961,0.12201406981677895,0.0,0.11371451971655451,0.4782440333333333,0.0,0.21646983999999994,697,-1131,480,3,0.6886657101865137,0.7899751723237675,0.0,0.0,0.1499998875000844,0,1,0.0,0.13333332444444504,0.0,0.399999920000016,15,2119,697,480,6,0.424,0.0,0.16
20260406_053033,0.5636507936507936,0.2668373886619082,0.0,0.0044444444444444444,0.9288888888888889,0.29911778852955323,0.04762527233115468,0.006060606060606061,0.054949494949494956,0.5255801714625243,1.8,0.26666666666666666,0.06666666666666667,0.26666666666666666,5.6,5.413699982487026,3.6569606137928505,168.15666666666667,0.23286435786435786,0.49065927041289364,0.917925925925926,0.0,78.26666666666667,-9.733333333333333,64.0,0.26666666666666666,0.04103704,0.003703704,0.01234568,67.62022802457294,500.03463689552353,109.85704997209524,0.2234470455461805,0.015615906947540382,0.04020084897519951,0.65059086,0.0077037040000000005,0.09899301600000003,1174,-146,960,4,0.817717206132879,1.1607566058667853,0.817717206132879,0.03703701646091678,0.14814806584366713,0,1,0.0,0.09523809070294806,0.0,0.399999920000016,15,3104,1174,960,7,0.6155556,0.05555556,0.1851852
20260406_144250,0.6799999999999999,0.2776174140277021,0.0,0.0,0.9333333333333333,0.20614672364672362,0.011851851851851851,0.024999999999999998,0.06664529914529914,0.6236894586894587,1.6666666666666667,0.13333333333333333,0.2,0.5333333333333333,6.333333333333333,4.774338596284749,2.9925962134507174,246.75777777777776,0.23704258704258707,0.0,0.6712710437710439,0.0,128.73333333333332,38.0,128.0,0.13333333333333333,0.05679998666666666,0.018666666666666668,0.0,114.43492640340352,607.8497229696545,178.37360470972956,0.2083941205122601,0.06742735948312574,0.0,0.7684123066666667,0.1533155266666667,0.0,1931,570,1920,2,0.9943034697048162,1.188124386042243,0.7138607971445569,0.11999992800004321,0.0799999520000288,0,1,0.0,0.03999999840000006,0.0,0.16666663888889352,15,3820,1931,1920,5,0.8519998,0.28,0.0
20260406_153046,0.3665079365079365,0.2143829459426937,0.03333333333333333,0.0,0.9,0.27762626262626267,0.1462962962962963,0.0,0.08333333333333333,0.4260774410774411,1.2,0.3333333333333333,0.0,0.2,4.066666666666666,10.350441219200937,5.069102763953053,173.21666666666667,0.11470899470899472,0.6571632071632071,0.9333333333333333,0.0,47.266666666666666,-56.46666666666667,48.0,0.3333333333333333,0.039037039999999995,0.0,0.014814813333333334,40.543568569884826,475.08328091980235,99.369440545299,0.12293812648951156,0.0,0.12015799963750624,0.4981668666666667,0.0,0.21457366000000003,709,-847,720,5,1.0155148095909732,0.6860386643542827,0.0,0.0,0.2777775462964892,0,1,0.0,0.08695651795841226,0.0,0.399999920000016,15,2403,709,720,8,0.5855556,0.0,0.2222222
20260406_190336,0.6666666666666666,0.3086066999241838,0.006666666666666667,0.0047619047619047615,0.9219047619047619,0.32673798021624106,0.0,0.009523809523809523,0.1032193732193732,0.49385217037390955,1.1333333333333333,0.0,0.06666666666666667,0.6,6.0,5.185057616409051,2.9833302401453587,369.73333333333335,0.061428571428571416,0.0,0.639555781908723,0.0,126.6,61.0,152.0,0.0,0.05647058666666667,0.015686273333333334,0.0,116.66178221067698,629.7494966821558,184.04968273345574,0.20627306016549266,0.07753251533103907,0.0,0.7760444599999998,0.14688877333333333,0.0,1899,915,2280,0,1.2006319115323856,2.0835954962951115,1.0794602698650675,0.05882347750869632,0.0,0,0,0.0,0.0,0.0,0.0,15,4165,1899,2280,3,0.8470588,0.2352941,0.0
20260406_192845,0.6222222222222222,0.30515847214470904,0.17295283663704716,0.0,0.760380496696286,0.29537037037037034,0.0,0.03333333333333333,0.20717171717171717,0.39745791245791245,1.2,0.0,0.06666666666666667,0.5333333333333333,5.4,4.449970220880135,2.7372092219050415,443.9777777777778,0.06216117216117216,0.0,0.6080394550982786,0.0,95.73333333333333,0.13333333333333333,128.0,0.0,0.0562963,0.014814813333333334,0.0,75.56214723813832,509.02453865445517,153.58571362132426,0.20623074320484533,0.07125252190977288,0.0,0.7791961000000002,0.16264694666666665,0.0,1436,2,1920,0,1.3370473537604457,1.5484516960259305,0.933852140077821,0.05555550925929784,0.0,1,0,0.04347825897920613,0.0,0.16666663888889352,0.0,15,3252,1436,1920,3,0.8444445,0.2222222,0.0
20260406_202420,0.7555555555555556,0.29457170056284565,0.010998877665544332,0.03333333333333333,0.8890011223344556,0.3242241462241463,0.0,0.0,0.13373256373256373,0.47537662337662334,1.5333333333333334,0.0,0.0,0.6,6.466666666666667,7.811317093009219,3.853054849636638,236.22222222222223,0.11693404634581107,0.0,0.9333333333333333,0.0,77.46666666666667,282.6666666666667,144.0,0.0,0.05333333333333334,0.0,0.0,38.31796793498667,978.639483208826,176.82921542712174,0.20655911179773234,0.0,0.0,0.7466667266666669,0.0,0.0,1162,4240,2160,0,1.8588640275387263,2.7252460151879534,1.7142857142857142,0.0,0.0,0,0,0.0,0.0,0.0,0.0,15,7490,1162,2160,3,0.8,0.0,0.0
20260406_204247,0.5055555555555555,0.38248698840130013,0.1643939393939394,0.0,0.7689393939393939,0.22253267973856208,0.06666666666666667,0.0175,0.16339869281045752,0.3965686274509804,0.8,0.06666666666666667,0.2,0.3333333333333333,4.466666666666667,3.707381595134831,2.059641825754951,397.30000000000007,0.05582010582010581,0.0,0.12222222222222222,0.0,108.33333333333333,-40.06666666666667,104.0,0.06666666666666667,0.06222221333333333,0.044444446666666665,0.0,94.75959556889715,703.9668688091452,162.6916452328497,0.2065369769154005,0.11872981910102129,0.0,0.8514180133333332,0.5437566133333334,0.0,1625,-601,1560,1,0.96,1.104763056309933,0.5587892898719441,0.24999968750039062,0.08333322916679686,1,0,0.04761904535147403,0.0,0.24999993750001562,0.0,15,2649,1625,1560,4,0.9333332,0.6666667,0.0
20260407_031835,0.6777777777777778,0.3099965864294051,0.12518518518518518,0.03777777777777778,0.7703703703703705,0.2764814814814815,0.01111111111111111,0.10666666666666667,0.1667989417989418,0.3722751322751323,0.7333333333333333,0.06666666666666667,0.2,0.6,4.066666666666666,3.6804729381876298,2.207837440632784,471.8777777777778,0.042499999999999996,0.0,0.3188023088023088,0.0,138.8,31.4,144.0,0.06666666666666667,0.06121212,0.04242424,0.0,122.7099949357951,675.4971502530561,151.7893276880822,0.21101368159793135,0.11049263731471498,0.0,0.7909952,0.3674002066666667,0.0,2082,471,2160,1,1.037463976945245,0.9381460892930813,0.4247787610619469,0.27272690082695344,0.0909089669423178,1,0,0.041666664930555625,0.0,0.16666663888889352,0.0,15,3721,2082,2160,4,0.9181818,0.6363636,0.0
20260407_053706,0.6444444444444445,0.3665945094945291,0.12698412698412695,0.02222222222222222,0.7841269841269841,0.4699786324786325,0.0,0.04392156862745098,0.08654977375565612,0.3328833584715937,0.9333333333333333,0.0,0.2,0.4666666666666667,4.466666666666667,3.89338743662095,2.1436526089203887,469.8,0.03476190476190476,0.0,0.09336219336219335,0.0,162.66666666666666,25.733333333333334,152.0,0.0,0.06095238,0.040476193333333334,0.0,133.0647890887672,619.4662987105071,178.37360470972956,0.20658503195369765,0.1504726738852296,0.0,0.8427258400000001,0.48848485333333336,0.0,2440,386,2280,0,0.9344262295081968,1.1524894167157496,0.6282722513089005,0.21428548469412353,0.0,1,0,0.033333332222222255,0.0,0.33333322222225925,0.0,15,3636,2440,2280,3,0.9142857,0.6071429,0.0
20260407_060112,0.7444444444444446,0.2860282666314106,0.04031746031746032,0.0,0.893015873015873,0.2663234913234913,0.03333333333333333,0.05277777777777778,0.10285547785547786,0.47804325304325296,1.3333333333333333,0.06666666666666667,0.2,0.5333333333333333,4.066666666666666,4.344963561252084,2.407812548908611,323.5833333333333,0.18415584415584413,0.023398692810457516,0.2969251554545672,0.0,132.53333333333333,3.6,128.0,0.06666666666666667,0.05839999333333334,0.030000000000000002,0.002,98.37527757569602,675.9262216713131,153.58571362132426,0.20746384912083382,0.15158664926564985,0.010657569453373773,0.81664168,0.3662541,0.007019607999999999,1988,54,1920,1,0.96579476861167,1.3583040520186684,0.8703535811423391,0.1499998875000844,0.04999996250002813,1,0,0.045454543388429844,0.0,0.16666663888889352,0.0,15,3304,1988,1920,4,0.8759999,0.45,0.03
