Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1872,154,0,3,3,0,0,2,1,0,0,0,15,0.5,0.5,0.5,0,0,0,0,0,0,0,3,0,822
3,1985,280,240,3,3,0,0,4,1,1,0,0,15,0.6720001,0.64,0.68,0.02,0,0.1,0,0,0,1,5,0,1113
4,1236,344,240,3,1,2,0,5,1,1,0,0,21,0.5933333,0.56,0.6,0.01666667,0,0.1,0,0,0,1,6,0,1151
5,1973,371,240,3,2,0,0,7,1,1,0,0,21,0.495,0.46,0.5,0.0125,0,0.1,0,0,0,1,8,0,1237
6,1662,476,240,3,3,0,0,10,1,1,0,0,27,0.4963636,0.46,0.5,0.009090909,0,0.1,0,0,0,1,11,0,1489
7,1834,582,480,3,2,0,0,11,1,2,0,0,32,0.5933333,0.56,0.6,0.01666667,0,0.1,0,0,0,2,12,0,1722
8,2774,673,480,3,3,0,0,12,1,2,1,0,36,0.6061538,0.56,0.7,0.02307692,0,0.1,0.07692308,0,0.5,3,11,0,1640
9,2176,958,720,3,3,0,0,13,2,3,1,0,41,0.6893333,0.64,0.78,0.02666667,0,0.2,0.1,0,0.5,3,12,0,2152
10,2521,1007,720,3,2,0,0,14,3,3,1,0,45,0.6058823,0.56,0.7,0.02941176,0,0.2,0.0882353,0,0.5,4,14,0,2245
11,3619,1200,960,3,2,1,0,15,3,4,1,0,49,0.6833333,0.64,0.78,0.03333334,0,0.2,0.08333334,0,0.5,5,15,0,2548
12,3861,1306,960,3,3,0,1,15,4,4,1,0,70,0.683158,0.64,0.78,0.03157895,0,0.2,0.07894737,0,0.5,5,16,0,2742
13,3485,1444,1200,3,3,0,0,16,5,5,1,0,88,0.6790477,0.64,0.78,0.03809524,0,0.2,0.07142857,0,0.5,7,18,0,3024
14,3165,1544,1200,4,3,1,0,16,6,5,1,1,94,0.6581819,0.46,0.78,0.07727273,0,0.4,0.06818182,0,0.5,9,19,0,3130
15,3114,1602,1200,4,4,0,0,17,7,5,2,1,104,0.5825,0.38,0.7,0.08333334,0,0.4,0.1041667,0,0.5,10,19,0,2949
16,4309,1926,1200,4,2,0,0,17,9,5,2,1,117,0.5915385,0.38,0.7,0.07692308,0,0.4,0.1346154,0,0.5,10,19,0,3445
17,3748,1912,1200,4,3,0,0,18,11,5,2,1,139,0.4958621,0.28,0.6,0.06896552,0,0.4,0.137931,0,0.5,10,21,0,3439
18,3963,2150,1200,4,4,0,0,20,13,5,2,1,145,0.4963637,0.28,0.6,0.06060606,0,0.4,0.1212121,0,0.5,10,25,0,3915
19,4368,2245,1200,5,4,0,0,21,14,5,2,2,161,0.4885714,0.28,0.6,0.07428571,0,0.4,0.1142857,0,0.5,12,27,0,4105
20,4450,2472,1200,5,2,2,0,21,16,5,2,2,169,0.4854054,0.28,0.6,0.07837837,0,0.4,0.1081081,0,0.5,13,29,0,4382
21,4784,2725,1200,5,3,4,0,24,16,5,2,2,181,0.4865,0.28,0.6,0.0725,0,0.4,0.1,0,0.5,13,32,0,4634
