Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,2050,156,360,3,1,3,0,3,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,3,0,860
4,960,344,360,3,3,4,0,4,0,1,1,0,22,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,910
5,1570,344,600,3,1,0,0,4,0,2,1,0,22,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,910
6,1395,431,600,3,1,1,0,5,0,2,1,0,30,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,1075
7,1420,435,600,3,0,3,0,5,0,2,1,0,30,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,1075
8,2360,518,720,3,1,7,0,6,0,2,1,0,30,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,1240
9,1466,642,720,3,3,1,0,7,0,2,2,0,39,0.9142857,0.9,1,0,0,0,0.5714286,0.5,1,0,0,0,1206
10,1757,775,720,3,2,0,0,9,0,2,2,0,43,0.9,0.8,1,0,0,0,0.5,0,1,0,1,0,1491
11,2298,789,720,3,0,4,0,9,0,2,2,0,43,0.9,0.8,1,0,0,0,0.5,0,1,0,1,0,1491
12,2089,1009,720,3,3,2,0,12,0,2,2,0,49,0.8916667,0.8,1,0,0,0,0.4583333,0,1,0,2,0,1941
13,2280,1012,1080,3,1,2,0,12,0,3,2,0,49,0.8916667,0.8,1,0,0,0,0.4583333,0,1,0,2,0,1941
14,2306,1152,1080,3,2,3,0,14,0,3,2,0,59,0.8857142,0.8,1,0,0,0,0.4285714,0,1,0,3,0,2226
15,2298,1275,1080,3,3,1,0,15,0,3,3,0,63,0.8933333,0.8,1,0,0,0,0.4666667,0,1,0,3,0,2192
16,3570,1449,1080,3,2,2,0,17,0,3,3,0,70,0.8941176,0.8,1,0,0,0,0.4705882,0,1,0,3,0,2522
17,3057,1772,1080,3,2,2,0,18,1,3,3,0,82,0.8694737,0.78,0.98,0,0,0,0.4473684,0,1,0,4,0,2887
18,3001,1799,1800,3,2,2,0,18,1,5,3,0,86,0.8894736,0.8,1,0,0,0,0.4473684,0,1,0,4,0,2944
19,3299,2059,1800,3,3,13,0,19,1,5,4,0,86,0.8999999,0.8,1,0,0,0,0.5,0,1,0,3,0,2998
20,3507,2218,1800,3,3,3,0,22,1,5,4,0,98,0.8869563,0.8,1,0,0,0,0.4347826,0,1,0,6,0,3358
21,3935,2342,2160,3,2,33,0,22,2,6,4,0,102,0.8833331,0.8,1,0,0,0,0.4166667,0,1,0,7,0,3578
