Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2190,100,240,3,3,0,0,2,0,1,0,0,15,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1620,166,480,3,3,0,0,2,0,2,1,0,22,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,580
4,952,364,480,3,1,0,0,2,1,2,1,0,29,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,882
5,1149,447,480,3,1,0,0,3,1,2,1,0,36,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,1047
6,1396,447,720,3,1,0,0,3,1,3,1,0,36,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,1047
7,1037,537,720,3,2,0,0,3,1,3,2,0,45,0.9250001,0.9,1,0,0,0,0.625,0.5,1,0,0,0,891
8,2064,707,720,3,2,0,0,5,1,3,2,0,45,0.9166667,0.8,1,0,0,0,0.5833333,0,1,0,1,0,1227
9,1717,895,720,3,3,0,0,6,1,3,3,0,51,0.9285715,0.9,1,0,0,0,0.7142857,0.5,1.5,0,0,0,1253
10,1306,925,720,3,2,0,0,6,1,3,4,0,64,0.9285715,0.9,1,0,0,0,0.7857143,0.5,1.5,0,0,0,1039
11,2139,922,960,3,1,0,0,6,1,4,4,0,68,0.9228572,0.86,1,0.01428571,0,0.1,0.7857143,0.5,1.5,1,0,0,1033
12,1640,1240,960,3,2,0,0,7,2,4,4,0,75,0.928889,0.86,1,0.01111111,0,0.1,0.7777778,0.5,1.5,1,0,0,1551
13,2387,1528,960,3,1,0,0,7,3,4,4,0,75,0.936,0.86,1,0.01,0,0.1,0.8,0.5,1.5,1,0,0,1947
14,2236,1630,1200,3,3,0,0,7,3,5,5,0,82,0.936,0.86,1,0.01,0,0.1,0.9,0.5,1.5,1,0,0,1799
15,2001,1702,1440,3,3,0,0,7,3,6,6,0,87,0.936,0.86,1,0.01,0,0.1,0.95,0.5,2,1,0,0,1615
16,2731,1785,1680,3,2,0,0,8,3,7,6,0,98,0.9327273,0.86,1,0.009090909,0,0.1,0.9090909,0.5,2,1,0,0,1780
17,3423,2193,1680,3,2,0,0,9,4,7,6,0,98,0.943077,0.86,1,0.007692308,0,0.1,0.9230769,0.5,2,1,0,0,2392
18,3047,2511,1680,3,3,1,0,9,5,7,7,0,103,0.9471429,0.86,1,0.007142857,0,0.1,0.9642857,0.5,2,1,0,0,2574
19,2968,2738,1680,3,3,2,0,10,5,7,8,0,103,0.944,0.86,1,0.006666667,0,0.1,1,0.5,2,1,0,0,2621
20,3089,2738,1920,3,1,4,0,10,5,8,8,0,109,0.944,0.86,1,0.006666667,0,0.1,1,0.5,2,1,0,0,2621
21,2710,2738,2400,3,2,4,0,10,5,10,8,0,109,0.944,0.86,1,0.006666667,0,0.1,1,0.5,2,1,0,0,2621
