Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1740,100,240,3,3,0,0,2,0,1,0,0,24,0.8,0.8,0.8,0,0,0,0,0,0,0,2,0,740
3,1635,249,240,3,3,0,0,3,0,1,1,0,31,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,745
4,1245,332,480,3,2,0,0,4,0,2,1,0,31,0.9,0.9,0.9,0,0,0,0.5,0.5,0.5,0,0,0,910
5,1156,369,480,3,2,0,0,4,0,2,2,0,31,0.925,0.9,1,0,0,0,0.625,0.5,1,0,0,0,711
6,1332,452,480,3,1,0,0,5,0,2,2,0,35,0.92,0.9,1,0,0,0,0.6,0.5,1,0,0,0,876
7,1293,585,480,3,2,0,0,7,0,2,2,0,39,0.9,0.8,1,0,0,0,0.5,0,1,0,1,0,1161
8,2454,585,720,3,1,0,0,7,0,3,2,0,39,0.9,0.8,1,0,0,0,0.5,0,1,0,1,0,1161
9,1231,705,720,3,3,1,0,8,0,3,3,0,46,0.9125001,0.8,1,0,0,0,0.5625,0,1,0,1,0,1127
10,1323,788,720,3,1,1,0,9,0,3,3,0,46,0.9111112,0.8,1,0,0,0,0.5555556,0,1,0,1,0,1292
11,2115,788,840,3,0,2,0,9,0,3,3,0,46,0.9111112,0.8,1,0,0,0,0.5555556,0,1,0,1,0,1292
12,1503,858,840,3,2,1,0,9,0,3,4,0,51,0.9333334,0.9,1,0,0,0,0.6666667,0.5,1,0,0,0,1138
13,942,895,840,3,2,2,0,9,0,3,5,0,51,0.9444444,0.9,1,0,0,0,0.7222222,0.5,1,0,0,0,939
14,1081,895,1080,3,1,0,0,9,0,4,5,0,51,0.9444444,0.9,1,0,0,0,0.7222222,0.5,1,0,0,0,939
15,1536,1015,1080,3,1,0,0,10,0,4,5,0,55,0.95,0.9,1,0,0,0,0.75,0.5,1,0,0,0,1155
16,1157,1135,1080,3,3,0,0,11,0,4,6,0,59,0.9545454,0.9,1,0,0,0,0.7727273,0.5,1,0,0,0,1121
17,1609,1338,1080,3,2,0,0,13,0,4,6,0,60,0.9538461,0.9,1,0,0,0,0.7692308,0.5,1,0,0,0,1502
18,1611,1338,1320,3,1,1,0,13,0,5,6,0,60,0.9538461,0.9,1,0,0,0,0.7692308,0.5,1,0,0,0,1502
19,1435,1398,1320,3,2,2,0,13,0,5,7,0,74,0.9538461,0.9,1,0,0,0,0.8461539,0.5,1.5,0,0,0,1324
20,1697,1502,1320,3,2,0,0,13,0,5,8,0,77,0.9692308,0.9,1,0,0,0,0.9615384,0.5,1.5,0,0,0,1212
21,1475,1626,1560,3,2,3,0,14,0,6,8,0,77,0.9714286,0.9,1,0,0,0,0.9642857,0.5,1.5,0,0,0,1428
