Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2117,28,0,4,3,0,0,1,0,0,0,1,15,0.36,0.36,0.36,0.3,0.3,0.3,0,0,0,1,1,0,567
3,2652,98,0,4,2,0,0,3,0,0,0,1,15,0.4533333,0.36,0.5,0.1,0,0.3,0,0,0,1,3,0,735
4,1076,151,0,5,3,0,0,3,1,0,0,2,15,0.36,0.36,0.36,0.3,0.3,0.3,0,0,0,4,4,0,824
5,1067,179,0,5,1,0,0,4,1,0,0,2,23,0.36,0.36,0.36,0.3,0.3,0.3,0,0,0,5,5,0,891
6,1286,237,240,5,1,0,0,4,1,1,0,2,23,0.54,0.54,0.54,0.3,0.3,0.3,0,0,0,5,5,0,1019
7,1320,266,480,5,1,0,0,4,1,2,0,2,28,0.644,0.58,0.66,0.32,0.3,0.4,0,0,0,5,5,0,1084
8,1457,309,480,5,1,0,0,5,1,2,0,2,39,0.6466667,0.58,0.66,0.3166667,0.3,0.4,0,0,0,6,6,0,1187
9,1681,366,480,5,4,0,1,6,1,2,0,2,39,0.6885714,0.58,0.8,0.2285714,0,0.4,0,0,0,5,7,0,1324
10,1925,436,480,5,1,0,0,6,2,2,0,2,39,0.6249999,0.52,0.74,0.2375,0,0.4,0,0,0,6,8,0,1444
11,1789,479,480,5,3,0,0,9,2,2,0,2,43,0.5127273,0.38,0.6,0.1818182,0,0.4,0,0,0,7,11,0,1564
12,1753,479,480,6,2,0,0,9,2,2,0,3,51,0.5127273,0.38,0.6,0.1818182,0,0.4,0,0,0,7,11,0,1564
13,2142,552,480,6,2,0,0,11,2,2,0,3,58,0.5153846,0.38,0.6,0.1769231,0,0.4,0,0,0,8,13,0,1739
14,2369,672,480,6,3,0,0,14,2,2,0,3,64,0.53125,0.38,0.6,0.14375,0,0.4,0,0,0,8,16,0,2027
15,2119,697,480,6,4,0,0,18,2,2,0,3,71,0.424,0.28,0.5,0.16,0,0.4,0,0,0,11,20,0,2100
16,3471,802,480,6,3,0,0,21,2,2,0,3,77,0.433913,0.28,0.5,0.1391304,0,0.4,0,0,0,11,23,0,2352
17,3211,1011,960,6,4,0,0,23,2,4,0,3,87,0.5392001,0.38,0.6,0.128,0,0.4,0,0,0,11,25,0,2840
18,3462,1245,1200,6,4,0,0,26,2,5,0,3,104,0.6192858,0.46,0.68,0.1285714,0,0.4,0,0,0,13,28,0,3401
19,3821,1311,1200,6,5,0,0,31,2,5,0,3,118,0.5418183,0.38,0.6,0.1242424,0,0.4,0,0,0,16,33,0,3559
20,4070,1411,1200,7,5,0,0,34,2,5,0,4,135,0.5355556,0.38,0.6,0.1361111,0,0.4,0,0,0,19,36,0,3799
21,4477,1623,1200,7,6,0,0,40,2,5,0,4,153,0.5314285,0.38,0.6,0.1452381,0,0.4,0,0,0,23,42,0,4307
