Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1420,50,480,3,3,0,0,1,0,2,0,0,22,0.8,0.8,0.8,0,0,0,0,0,0,0,1,0,620
3,2080,150,480,3,2,0,0,3,0,2,0,0,22,0.8,0.8,0.8,0,0,0,0,0,0,0,3,0,860
4,1400,300,480,3,3,0,0,6,0,2,0,0,30,0.8,0.8,0.8,0,0,0,0,0,0,0,6,0,1220
5,1640,420,480,3,1,0,0,6,1,2,0,0,30,0.8000001,0.8,0.8,0,0,0,0,0,0,0,7,0,1440
6,1700,470,720,3,2,0,0,7,1,3,0,0,34,0.8000001,0.8,0.8,0,0,0,0,0,0,0,8,0,1560
7,2250,570,720,3,2,0,0,9,1,3,0,0,39,0.8000001,0.8,0.8,0,0,0,0,0,0,0,10,0,1800
8,3080,775,720,3,3,0,0,11,2,3,0,0,39,0.78,0.78,0.78,0,0,0,0,0,0,0,13,0,2230
9,2610,840,1200,3,2,2,0,12,2,4,0,0,46,0.8000001,0.8,0.8,0,0,0,0,0,0,0,14,0,2380
10,2830,1080,1200,3,2,0,0,12,4,4,0,0,50,0.8000001,0.8,0.8,0,0,0,0,0,0,0,16,0,2820
11,4242,1296,1200,3,2,0,0,12,6,4,0,0,54,0.78,0.78,0.78,0,0,0,0,0,0,0,18,0,3212
12,4042,1420,1680,3,3,3,0,14,6,5,0,0,68,0.8000001,0.8,0.8,0,0,0,0,0,0,0,20,0,3500
13,4238,1748,1680,3,3,0,0,14,9,5,0,0,74,0.78,0.78,0.78,0,0,0,0,0,0,0,23,0,4096
14,4966,1984,1920,3,3,0,0,14,11,6,0,0,86,0.7800001,0.78,0.78,0,0,0,0,0,0,0,25,0,4528
15,4260,2160,1920,3,3,9,1,14,10,6,1,0,93,0.7925001,0.78,0.88,0,0,0,0.0625,0,0.5,0,21,0,4194
16,5330,2332,1920,3,3,4,0,17,10,6,1,0,101,0.751111,0.74,0.84,0,0,0,0.05555556,0,0.5,0,24,0,4370
17,5157,2773,2640,3,3,8,0,17,11,8,1,0,108,0.8142856,0.8,0.9,0,0,0,0.07142857,0,0.5,0,24,0,4927
18,5356,2898,2640,3,3,18,0,20,11,8,1,0,108,0.7929034,0.78,0.88,0,0,0,0.06451613,0,0.5,0,27,0,5199
19,5759,3054,2880,3,3,11,0,23,11,8,1,0,122,0.7917649,0.78,0.88,0,0,0,0.05882353,0,0.5,0,30,0,5553
20,6322,3609,2880,3,3,2,0,23,14,8,1,0,131,0.7562161,0.74,0.84,0,0,0,0.08108108,0,0.5,0,31,0,6113
21,6743,3949,3960,3,3,18,0,23,14,11,1,0,131,0.8162159,0.8,0.9,0,0,0,0.08108108,0,0.5,0,31,0,6471
