Turn,Gold,Population,TotalSupplyProvided,AP,APUsed,UpgradeCount,DemolishCount,SmallHouseCount,BigHouseCount,SupplyCount,ServiceCount,FactoryCount,RoadCount,AverageSatisfactionIndex,MinSatisfactionIndex,MaxSatisfactionIndex,AveragePollutionIndex,MinPollutionIndex,MaxPollutionIndex,AverageServiceIndex,MinServiceIndex,MaxServiceIndex,HousesNearFactoryCount,HousesWithoutServiceCount,HousesLowSatisfactionCount,TotalTaxIncome
1,3250,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2185,98,240,3,3,0,0,2,0,1,0,0,15,0.78,0.76,0.8,0.05,0,0.1,0,0,0,1,2,0,735
3,1976,255,240,3,2,1,0,3,1,1,0,0,15,0.73,0.7,0.74,0.025,0,0.1,0,0,0,1,4,0,1041
4,1507,352,240,3,2,0,0,4,2,1,0,0,15,0.5933333,0.56,0.6,0.01666667,0,0.1,0,0,0,1,6,0,1231
5,2122,441,480,3,1,0,0,4,2,2,0,0,25,0.7933333,0.76,0.8,0.01666667,0,0.1,0,0,0,1,6,0,1415
6,1829,539,480,3,2,0,0,5,3,2,0,0,29,0.675,0.64,0.68,0.0125,0,0.1,0,0,0,1,8,0,1607
7,2136,669,600,3,2,1,0,7,3,2,0,0,29,0.7359999,0.7,0.74,0.01,0,0.1,0,0,0,1,10,0,1907
8,2903,704,600,3,2,0,0,8,4,2,0,0,35,0.5966666,0.56,0.6,0.008333334,0,0.1,0,0,0,1,12,0,1967
9,2706,923,840,3,3,0,0,10,4,3,0,0,52,0.7371427,0.7,0.74,0.007142857,0,0.1,0,0,0,1,14,0,2453
10,2567,976,840,3,2,0,0,10,6,3,0,0,57,0.5975,0.56,0.6,0.00625,0,0.1,0,0,0,1,16,0,2511
11,3766,1096,960,3,3,1,0,13,6,3,0,0,63,0.5978948,0.56,0.6,0.005263158,0,0.1,0,0,0,1,19,0,2799
12,5244,1395,1200,3,3,0,0,13,6,4,1,0,63,0.748421,0.7,0.84,0.005263158,0,0.1,0.05263158,0,0.5,1,17,0,3078
13,5947,1417,1200,4,3,0,0,14,6,4,1,1,78,0.7409999,0.7,0.84,0.02,0,0.3,0.05,0,0.5,2,18,0,3153
14,3308,1574,1200,4,4,3,0,16,8,4,1,1,91,0.6008335,0.56,0.7,0.01666667,0,0.3,0.04166667,0,0.5,2,22,0,3261
15,4047,1870,1440,4,4,1,0,19,8,5,1,1,101,0.6807408,0.64,0.78,0.01481482,0,0.3,0.03703704,0,0.5,2,25,0,3889
16,4860,1916,1440,4,4,2,0,22,9,5,1,1,113,0.6006453,0.56,0.7,0.01290323,0,0.3,0.03225806,0,0.5,2,29,0,4013
17,4899,2329,1920,4,3,3,0,22,11,6,1,1,113,0.6806062,0.64,0.78,0.01212121,0,0.3,0.03030303,0,0.5,2,31,0,4789
18,5038,2577,1920,4,4,2,0,22,13,6,2,1,118,0.6120002,0.56,0.7,0.01142857,0,0.3,0.08571429,0,0.5,2,29,0,4689
19,6243,3091,2280,4,4,1,0,23,15,7,2,1,121,0.6910529,0.64,0.78,0.01052632,0,0.3,0.07894737,0,0.5,2,32,0,5655
20,5681,3290,2280,4,4,6,0,27,15,7,2,1,130,0.6171432,0.56,0.7,0.00952381,0,0.3,0.1071429,0,0.5,2,33,0,5638
21,6397,3674,2280,4,3,2,0,27,18,7,2,1,137,0.6160003,0.56,0.7,0.008888889,0,0.3,0.1,0,0.5,2,36,0,6166
